번호,측정망,도시,측정지점,지역,측정연도,분기,주간9시,주간12시,주간16시,주간20시,주간평균,야간23시,야간01시,야간평균
1,중앙,서울특별시,조계사 후문 앞,일반,2023,1,57.2,60.6,55.7,53.5,57,50.2,46,48
2,중앙,서울특별시,조계사 후문 앞,일반,2023,2,61.7,61.1,64.3,57.5,61,51.3,49.4,50
3,중앙,서울특별시,조계사 후문 앞,일반,2023,3,55.629,55.509,54.347,55.571,55,46.043,42.97,45
4,중앙,서울특별시,조계사 후문 앞,일반,2023,4,67.4,66.1,64.3,58,64,53,49.2,51
5,중앙,서울특별시,광화문한의원,일반,2023,1,59.6,62.6,62.2,60.3,61,55.3,54.7,55
6,중앙,서울특별시,광화문한의원,일반,2023,2,61.2,62.4,58.7,59.8,61,55.2,52.8,54
7,중앙,서울특별시,광화문한의원,일반,2023,3,57.037,70.143,57.804,52.985,59,43.919,44.397,44
8,중앙,서울특별시,광화문한의원,일반,2023,4,60.7,64.4,64,61.5,63,56.6,54.9,56
9,중앙,서울특별시,동산불교회관,일반,2023,1,56.9,58.1,56.5,55.3,57,51.6,49.7,51
10,중앙,서울특별시,동산불교회관,일반,2023,2,63.4,62.4,60.6,59.3,61,54.6,53.1,54
11,중앙,서울특별시,동산불교회관,일반,2023,3,53.275,58.533,55.654,54.139,55,46.811,44.271,46
12,중앙,서울특별시,동산불교회관,일반,2023,4,62.9,62.5,59.7,60.8,61,52.6,51.9,52
13,중앙,서울특별시,우정에쉐르,도로,2023,1,69.6,69.3,68.7,68.7,69,67.5,65.4,66
14,중앙,서울특별시,우정에쉐르,도로,2023,2,70.6,70.9,69.1,68.3,70,67.1,63.1,65
15,중앙,서울특별시,우정에쉐르,도로,2023,3,65.92,62.035,61.269,62.168,63,58.005,56.425,57
16,중앙,서울특별시,우정에쉐르,도로,2023,4,71.6,71.5,73.5,79.3,74,69.8,65.6,68
17,중앙,서울특별시,동덕빌딩 앞,도로,2023,1,68.2,68.3,67.6,67.8,68,67,64.1,66
18,중앙,서울특별시,동덕빌딩 앞,도로,2023,2,67.2,66.6,66.1,66.1,67,65.2,60.6,63
19,중앙,서울특별시,동덕빌딩 앞,도로,2023,3,59.545,61.999,58.941,53.364,58,47.891,52.283,50
20,중앙,서울특별시,동덕빌딩 앞,도로,2023,4,69,68.5,70.7,71.8,70,67.4,62.6,65
21,중앙,서울특별시,자라 앞,일반,2023,1,65.4,66.7,65.8,66.4,66,66.4,58.8,63
22,중앙,서울특별시,자라 앞,일반,2023,2,65.2,66.9,65.8,66.4,66,67.5,60.8,64
23,중앙,서울특별시,자라 앞,일반,2023,3,60.183,60.427,59.1,57.64,59,54.308,52.955,54
24,중앙,서울특별시,자라 앞,일반,2023,4,66.9,69.4,68.8,70.1,69,67.6,62.1,65
25,중앙,서울특별시,명동 오다헤어,일반,2023,1,60.5,65.2,65.9,66.7,65,66.9,56.3,62
26,중앙,서울특별시,명동 오다헤어,일반,2023,2,65.7,69.1,69.1,69.1,68,64.5,61.3,63
27,중앙,서울특별시,명동 오다헤어,일반,2023,3,52.664,52.97,58.898,54.199,55,47.631,43.663,46
28,중앙,서울특별시,명동 오다헤어,일반,2023,4,58.7,70,74.2,73.5,69,64.2,66.4,65
29,중앙,서울특별시,우리은행 앞,일반,2023,1,63.3,66.6,66.3,64,65,64,61.7,63
30,중앙,서울특별시,우리은행 앞,일반,2023,2,64.6,65.4,65.8,64.4,65,64.9,65,65
31,중앙,서울특별시,우리은행 앞,일반,2023,3,53.267,55.979,54.667,56.787,55,43.473,45.244,44
32,중앙,서울특별시,우리은행 앞,일반,2023,4,64.3,69,68.4,70,68,64.9,62.3,64
33,중앙,서울특별시,중앙우체국 앞,도로,2023,1,71.8,72.4,70.4,71.1,71,69.4,67,68
34,중앙,서울특별시,중앙우체국 앞,도로,2023,2,71.2,69.6,69.6,69.5,70,70,66.1,68
35,중앙,서울특별시,중앙우체국 앞,도로,2023,3,61.692,57.722,58.931,56.308,59,48.864,47.456,48
36,중앙,서울특별시,중앙우체국 앞,도로,2023,4,73.3,72,74.2,73.8,73,71.1,67.4,69
37,중앙,서울특별시,명동밀리오레쇼핑몰 앞,도로,2023,1,71.7,73.1,74.1,72.1,73,72.2,69.2,71
38,중앙,서울특별시,명동밀리오레쇼핑몰 앞,도로,2023,2,72.2,71.9,71.6,69.2,71,71.5,68.3,70
39,중앙,서울특별시,명동밀리오레쇼핑몰 앞,도로,2023,3,58.675,58.892,57.807,58.313,58,53.267,53.641,53
40,중앙,서울특별시,명동밀리오레쇼핑몰 앞,도로,2023,4,74.2,73.4,75.1,74.6,74,71.6,70,71
41,중앙,서울특별시,크라운호텔 앞,도로,2023,1,79,77.8,78,77.4,78,77,74.1,76
42,중앙,서울특별시,크라운호텔 앞,도로,2023,2,78.3,77.1,77.8,76.6,77,75.8,73.4,75
43,중앙,서울특별시,크라운호텔 앞,도로,2023,3,64.537,59.699,57.123,59.217,60,54.194,53.048,54
44,중앙,서울특별시,크라운호텔 앞,도로,2023,4,78.3,80.7,79.1,79.2,79,80.2,75.6,78
45,중앙,서울특별시,스타벅스 앞,도로,2023,1,70.2,69.1,69.9,70.4,70,68.7,67.6,68
46,중앙,서울특별시,스타벅스 앞,도로,2023,2,69.3,70.2,70.7,69.4,70,70.8,67.5,69
47,중앙,서울특별시,스타벅스 앞,도로,2023,3,57.597,56.086,56.228,57.927,57,50.414,50.626,51
48,중앙,서울특별시,스타벅스 앞,도로,2023,4,70.2,73.1,70.9,71,71,72.6,71.9,72
49,중앙,서울특별시,백해영갤러리,일반,2023,1,63.7,60.5,63.7,62.3,63,55.7,53.7,55
50,중앙,서울특별시,백해영갤러리,일반,2023,2,62.4,62.2,62.4,66.8,63,61,50.1,56
51,중앙,서울특별시,백해영갤러리,일반,2023,3,57.91,60.57,59.973,62.809,60,55.362,47.911,52
52,중앙,서울특별시,백해영갤러리,일반,2023,4,66.9,69.3,67.6,66.7,68,61.3,60.3,61
53,중앙,서울특별시,인도대사관저,일반,2023,1,66.3,63.9,58,60,62,52.6,48.8,51
54,중앙,서울특별시,인도대사관저,일반,2023,2,59.5,59.8,59.6,58.9,59,50.5,50.6,51
55,중앙,서울특별시,인도대사관저,일반,2023,3,82.334,79.379,78.251,80.116,80,61.477,49.014,55
56,중앙,서울특별시,인도대사관저,일반,2023,4,58.6,67.6,60.5,57.8,61,62.4,49.8,56
57,중앙,서울특별시,주한벨기에대사관,일반,2023,1,57.1,54.4,56.1,64.9,58,53.3,48.4,51
58,중앙,서울특별시,주한벨기에대사관,일반,2023,2,57.9,56,57.4,54.9,57,49.7,46.1,48
59,중앙,서울특별시,주한벨기에대사관,일반,2023,3,71.124,68.665,65.602,65.847,68,51.785,45.655,49
60,중앙,서울특별시,주한벨기에대사관,일반,2023,4,62.3,63.7,57,54.5,59,52,54,53
61,중앙,서울특별시,성수종로약국,일반,2023,1,67.4,65.6,64.8,65.4,66,61.5,58.3,60
62,중앙,서울특별시,성수종로약국,일반,2023,2,64.9,67.7,64.9,66.9,66,61.2,59.9,61
63,중앙,서울특별시,성수종로약국,일반,2023,3,53.605,52.799,63.105,53.517,56,45.391,44.572,45
64,중앙,서울특별시,성수종로약국,일반,2023,4,65.3,67,67,64.8,66,61.1,58.4,60
65,중앙,서울특별시,현대자동차 동부사업소앞,일반,2023,1,64.1,63.4,64.7,63.5,64,57.1,54.4,56
66,중앙,서울특별시,현대자동차 동부사업소앞,일반,2023,2,64,66.5,64.2,64.6,65,60.3,55.8,58
67,중앙,서울특별시,현대자동차 동부사업소앞,일반,2023,3,55.143,56.272,57.917,53.4,56,47.434,47.008,47
68,중앙,서울특별시,현대자동차 동부사업소앞,일반,2023,4,63.9,65.3,65.1,62.4,64,59.9,58.4,59
69,중앙,서울특별시,우란문화재단,일반,2023,1,66.3,65.1,64.3,66.2,65,61.5,56.2,59
70,중앙,서울특별시,우란문화재단,일반,2023,2,67.5,66.9,65,66.1,66,64.2,58,61
71,중앙,서울특별시,우란문화재단,일반,2023,3,53.497,57.201,56.615,52.173,55,43.417,42.633,43
72,중앙,서울특별시,우란문화재단,일반,2023,4,65.2,67.1,69.4,65,67,64.1,57.3,61
73,중앙,서울특별시,제일빌딩,도로,2023,1,65.3,65.7,66.4,66.4,66,61.1,57.5,59
74,중앙,서울특별시,제일빌딩,도로,2023,2,66.1,65.9,66.5,65.1,66,64.6,63.7,64
75,중앙,서울특별시,제일빌딩,도로,2023,3,61.586,57.575,60.988,61.681,60,53.839,56.805,55
76,중앙,서울특별시,제일빌딩,도로,2023,4,69.1,68.2,67.8,67.7,68,65.4,61.3,63
77,중앙,서울특별시,대림창고 앞,도로,2023,1,65.6,64.7,64.4,64.4,65,61.4,58.5,60
78,중앙,서울특별시,대림창고 앞,도로,2023,2,66.1,66.8,68.1,65.4,67,68.9,60,64
79,중앙,서울특별시,대림창고 앞,도로,2023,3,59.876,58.479,59.127,57.562,59,52.559,50.406,51
80,중앙,서울특별시,대림창고 앞,도로,2023,4,65.6,66.4,65.5,65.1,66,62,59.1,61
81,중앙,서울특별시,경희약국 앞,일반,2023,1,61,61.9,61.8,60.9,61,60.6,58.2,59
82,중앙,서울특별시,경희약국 앞,일반,2023,2,60.9,61.5,61.3,60.4,61,57.7,54.9,56
83,중앙,서울특별시,경희약국 앞,일반,2023,3,55.408,55.069,58.033,54.957,56,47.232,44.095,46
84,중앙,서울특별시,경희약국 앞,일반,2023,4,59.8,61.6,60.9,60.3,61,59.3,55.1,57
85,중앙,서울특별시,연화사 앞,일반,2023,1,62.9,59.4,57.2,56.5,59,48,47.1,48
86,중앙,서울특별시,연화사 앞,일반,2023,2,56,55.9,54.1,54.8,55,48.7,49.1,49
87,중앙,서울특별시,연화사 앞,일반,2023,3,61.593,58.223,58.372,55.61,58,48.808,44.402,47
88,중앙,서울특별시,연화사 앞,일반,2023,4,60.8,58.9,62.6,51.4,58,50.2,49.3,50
89,중앙,서울특별시,로이드 앞,도로,2023,1,68,69.1,69,68.9,69,66.8,64.9,66
90,중앙,서울특별시,로이드 앞,도로,2023,2,76.7,79.8,70.8,68.6,74,65.5,62.5,64
91,중앙,서울특별시,로이드 앞,도로,2023,3,60.628,57.353,55.355,50.535,56,47.455,48.351,48
92,중앙,서울특별시,로이드 앞,도로,2023,4,69.7,71.9,74.4,69.7,71,67.9,64.8,66
93,중앙,서울특별시,경희대정문 옆,도로,2023,1,63.8,65,65.1,65.4,65,59.4,57.3,58
94,중앙,서울특별시,경희대정문 옆,도로,2023,2,64.7,66.5,65.5,65.6,66,59,56.5,58
95,중앙,서울특별시,경희대정문 옆,도로,2023,3,62.6,64.179,63.95,64.401,64,59.564,52.766,56
96,중앙,서울특별시,경희대정문 옆,도로,2023,4,66.1,67.6,66.6,64.4,66,60.3,56.9,59
97,중앙,서울특별시,경희아트빌라,일반,2023,1,55.3,51.4,51.9,52.3,53,48.1,44.3,46
98,중앙,서울특별시,경희아트빌라,일반,2023,2,58.7,58.2,61,59.7,59,52.2,51.7,52
99,중앙,서울특별시,경희아트빌라,일반,2023,3,76.933,81.041,79.026,80.318,79,48.674,45.329,47
100,중앙,서울특별시,경희아트빌라,일반,2023,4,50.6,56.9,50.8,52.6,53,47.6,43.8,46
101,중앙,서울특별시,스웨덴대사관 앞,일반,2023,1,51.8,53,52,52.3,52,41.7,43.4,43
102,중앙,서울특별시,스웨덴대사관 앞,일반,2023,2,53.2,52.5,51.6,51.1,52,48.3,42,45
103,중앙,서울특별시,스웨덴대사관 앞,일반,2023,3,58.412,58.815,57.285,59.142,58,49.462,47.07,48
104,중앙,서울특별시,스웨덴대사관 앞,일반,2023,4,51.1,53.9,52.4,49.4,52,46.6,47.6,47
105,중앙,서울특별시,호주대사관저 앞,일반,2023,1,51.1,55,61.9,52.9,55,49.6,49.7,50
106,중앙,서울특별시,호주대사관저 앞,일반,2023,2,50.2,54.4,49.7,53,52,43.6,43,43
107,중앙,서울특별시,호주대사관저 앞,일반,2023,3,63.958,61.886,60.224,59.311,61,42.69,49.011,46
108,중앙,서울특별시,호주대사관저 앞,일반,2023,4,52.6,46.2,49.5,48.9,49,46.8,42,44
