측정지점,주소,법적,지역,용도구분,위도,경도
크라운호텔 앞,서울특별시 용산구 이태원동 34-150 앞 보도,가,도로,전용주거지역,37.53091704,126.9907818
회기동,서울특별시 동대문구 회기동 60-58 앞 도로,가,도로,종합병원지역,37.59150638,127.0510321
성북초교,서울특별시 성북구 성북동 126-4 앞 도로,나,도로,일반주거지역,37.59319648,126.9995933
기업은행,서울특별시 성북구 종암동 3-395 앞 보도,나,도로,준주거지역,37.59993619,127.0342215
불광동,서울특별시 은평구 불광동 275-1 앞 보도,가,도로,학교지역,37.611419,126.9303177
북아현동,서울특별시 서대문구 북아현동 251-40 앞 보도,나,도로,일반주거지역,37.55709987,126.9488589
반포본동,서울특별시 서초구 반포동 1036 앞 보도,나,도로,일반주거지역,37.50032666,126.9853083
삼신빌딩,서울특별시 강남구 압구정동 598-6 앞 도로,나,도로,일반주거지역,37.52287593,127.0284883
숙명여고 앞,서울특별시 강남구 도곡동 91번지 앞 도로,가,도로,학교지역,37.49026598,127.053579
주남혁소아과,부산광역시 서구 부민동2가 14-1 옆 보도,가,도로,종합병원지역,35.10199936,129.0198441
구덕운동장동쪽,부산광역시 서구 동대신동3가 121-13앞 화단내,나,도로,일반주거지역,35.11643865,129.0173021
동래우체국 앞,부산광역시 동래구 명륜동 683-13 앞 도로,가,도로,학교지역,35.20915061,129.0823028
하나한의원 앞,부산광역시 연제구 연산동 841-47 앞 도로,나,도로,일반주거지역,35.17466078,129.0810201
대부자동차정비앞,부산광역시 수영구 광안동 98-1 앞 보도,나,도로,준주거지역,35.16490315,129.1147727
새동산약국앞,대구광역시 중구 동산동 75-12 앞 보도,가,도로,종합병원지역,35.87052902,128.5826522
계명약국 옆,대구광역시 남구 대명동 2130-11 앞 도로,가,도로,학교지역,35.85657132,128.5821248
원음피아노 앞,대구광역시 수성구 상동 411-1 앞 도로,나,도로,일반주거지역,35.84019578,128.6121153
국립대구박물관정문,대구광역시 수성구 황금동 92번지 앞,나,도로,일반주거지역,35.84391733,128.63882
축협월성지점앞,대구광역시 달서구 본동 737 앞 보도,나,도로,일반주거지역,35.83681604,128.5367892
학익2동사무소 앞,인천광역시 남구 학익동 4-16앞 보도,나,도로,일반주거지역,37.44638243,126.6674887
서해상가,인천광역시 남구 용현동 629-5앞 보도,나,도로,준주거지역,37.45421462,126.633752
적십자병원 정문,인천광역시 연수구 연수동 579,가,도로,종합병원지역,37.41656129,126.6879845
전병원,인천광역시 남동구 만수동 982-1앞 보도,나,도로,일반주거지역,37.44860891,126.7312451
논곡초등학교앞,인천광역시 남동구 논현동 563-5,가,도로,학교지역,37.41006781,126.7093992
